2026-01-27 00:04:35,897 | DEBUG | httpcore.connection | connect_tcp.started host='raw.githubusercontent.com' port=443 local_address=None timeout=5 socket_options=None
2026-01-27 00:04:37,864 | DEBUG | LiteLLM | NEW SESSION: Creating new ClientSession (no shared session provided)
2026-01-27 00:04:37,864 | DEBUG | LiteLLM | Using AiohttpTransport...
2026-01-27 00:04:37,864 | DEBUG | LiteLLM | Creating AiohttpTransport...
2026-01-27 00:04:37,864 | DEBUG | LiteLLM | NEW SESSION: Creating new ClientSession (no shared session provided)
2026-01-27 00:04:37,864 | DEBUG | LiteLLM | Using AiohttpTransport...
2026-01-27 00:04:37,864 | DEBUG | LiteLLM | Creating AiohttpTransport...
2026-01-27 00:04:37,864 | DEBUG | LiteLLM | NEW SESSION: Creating new ClientSession (no shared session provided)
2026-01-27 00:04:37,878 | DEBUG | LiteLLM | Using AiohttpTransport...
2026-01-27 00:04:37,878 | DEBUG | LiteLLM | Creating AiohttpTransport...
2026-01-27 00:04:37,878 | DEBUG | LiteLLM | NEW SESSION: Creating new ClientSession (no shared session provided)
2026-01-27 00:04:37,989 | INFO | main | 🚀 FastAPI application starting
2026-01-27 00:04:38,068 | INFO | main | 🗄️ Database tables ensured
2026-01-27 00:05:14,789 | DEBUG | asyncio | Using proactor: IocpProactor
2026-01-27 00:05:14,791 | DEBUG | openai.agents | Shutting down trace provider
2026-01-27 00:05:14,791 | DEBUG | openai.agents | Shutting down trace processor <agents.tracing.processors.BatchTraceProcessor object at 0x00000277DFF48880>
2026-01-27 00:05:18,872 | DEBUG | httpcore.connection | connect_tcp.started host='raw.githubusercontent.com' port=443 local_address=None timeout=5 socket_options=None
2026-01-27 00:05:18,936 | DEBUG | httpcore.connection | connect_tcp.complete return_value=<httpcore._backends.sync.SyncStream object at 0x00000208581D28C0>
2026-01-27 00:05:18,937 | DEBUG | httpcore.connection | start_tls.started ssl_context=<ssl.SSLContext object at 0x0000020856F0E7C0> server_hostname='raw.githubusercontent.com' timeout=5
2026-01-27 00:05:18,972 | DEBUG | httpcore.connection | start_tls.complete return_value=<httpcore._backends.sync.SyncStream object at 0x00000208581D2890>
2026-01-27 00:05:18,972 | DEBUG | httpcore.http11 | send_request_headers.started request=<Request [b'GET']>
2026-01-27 00:05:18,972 | DEBUG | httpcore.http11 | send_request_headers.complete
2026-01-27 00:05:18,972 | DEBUG | httpcore.http11 | send_request_body.started request=<Request [b'GET']>
2026-01-27 00:05:18,972 | DEBUG | httpcore.http11 | send_request_body.complete
2026-01-27 00:05:18,972 | DEBUG | httpcore.http11 | receive_response_headers.started request=<Request [b'GET']>
2026-01-27 00:05:19,005 | DEBUG | httpcore.http11 | receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Connection', b'keep-alive'), (b'Content-Length', b'62322'), (b'Cache-Control', b'max-age=300'), (b'Content-Security-Policy', b"default-src 'none'; style-src 'unsafe-inline'; sandbox"), (b'Content-Type', b'text/plain; charset=utf-8'), (b'ETag', b'W/"5f0be0ed2fe5ecf561c4b4488d64c304c35b980a45012ef1d1253b4b5d438af1"'), (b'Strict-Transport-Security', b'max-age=31536000'), (b'X-Content-Type-Options', b'nosniff'), (b'X-Frame-Options', b'deny'), (b'X-XSS-Protection', b'1; mode=block'), (b'X-GitHub-Request-Id', b'415E:3865D1:30D7E6:7A896E:69753835'), (b'Content-Encoding', b'gzip'), (b'Accept-Ranges', b'bytes'), (b'Date', b'Mon, 26 Jan 2026 18:35:18 GMT'), (b'Via', b'1.1 varnish'), (b'X-Served-By', b'cache-bom-vanm7210093-BOM'), (b'X-Cache', b'HIT'), (b'X-Cache-Hits', b'9'), (b'X-Timer', b'S1769452519.952992,VS0,VE0'), (b'Vary', b'Authorization,Accept-Encoding'), (b'Access-Control-Allow-Origin', b'*'), (b'Cross-Origin-Resource-Policy', b'cross-origin'), (b'X-Fastly-Request-ID', b'827c23bf3ad242e3250baef06d11f35612e5627d'), (b'Expires', b'Mon, 26 Jan 2026 18:40:18 GMT'), (b'Source-Age', b'148')])
2026-01-27 00:05:19,005 | DEBUG | httpcore.http11 | receive_response_body.started request=<Request [b'GET']>
2026-01-27 00:05:19,056 | DEBUG | httpcore.http11 | receive_response_body.complete
2026-01-27 00:05:19,056 | DEBUG | httpcore.http11 | response_closed.started
2026-01-27 00:05:19,056 | DEBUG | httpcore.http11 | response_closed.complete
2026-01-27 00:05:19,056 | DEBUG | httpcore.connection | close.started
2026-01-27 00:05:19,056 | DEBUG | httpcore.connection | close.complete
2026-01-27 00:05:20,065 | DEBUG | LiteLLM | [Non-Blocking] Unable to import GenericAPILogger - LiteLLM Enterprise Feature - No module named 'litellm_enterprise'
2026-01-27 00:05:20,680 | DEBUG | LiteLLM | Using AiohttpTransport...
2026-01-27 00:05:20,680 | DEBUG | LiteLLM | Creating AiohttpTransport...
2026-01-27 00:05:20,680 | DEBUG | LiteLLM | NEW SESSION: Creating new ClientSession (no shared session provided)
2026-01-27 00:05:20,695 | DEBUG | LiteLLM | Using AiohttpTransport...
2026-01-27 00:05:20,695 | DEBUG | LiteLLM | Creating AiohttpTransport...
2026-01-27 00:05:20,695 | DEBUG | LiteLLM | NEW SESSION: Creating new ClientSession (no shared session provided)
2026-01-27 00:05:20,695 | DEBUG | LiteLLM | Using AiohttpTransport...
2026-01-27 00:05:20,695 | DEBUG | LiteLLM | Creating AiohttpTransport...
2026-01-27 00:05:20,695 | DEBUG | LiteLLM | NEW SESSION: Creating new ClientSession (no shared session provided)
2026-01-27 00:05:20,695 | DEBUG | LiteLLM | Using AiohttpTransport...
2026-01-27 00:05:20,695 | DEBUG | LiteLLM | Creating AiohttpTransport...
2026-01-27 00:05:20,695 | DEBUG | LiteLLM | NEW SESSION: Creating new ClientSession (no shared session provided)
2026-01-27 00:05:20,805 | INFO | main | 🚀 FastAPI application starting
2026-01-27 00:05:20,857 | INFO | main | 🗄️ Database tables ensured
2026-01-27 00:05:20,872 | DEBUG | asyncio | Using proactor: IocpProactor
2026-01-27 00:05:20,872 | DEBUG | openai.agents | Shutting down trace provider
2026-01-27 00:05:20,872 | DEBUG | openai.agents | Shutting down trace processor <agents.tracing.processors.BatchTraceProcessor object at 0x0000020855DB8880>
2026-01-27 00:05:24,938 | DEBUG | httpcore.connection | connect_tcp.started host='raw.githubusercontent.com' port=443 local_address=None timeout=5 socket_options=None
2026-01-27 00:05:24,979 | DEBUG | httpcore.connection | connect_tcp.complete return_value=<httpcore._backends.sync.SyncStream object at 0x0000028209852950>
2026-01-27 00:05:24,981 | DEBUG | httpcore.connection | start_tls.started ssl_context=<ssl.SSLContext object at 0x000002820858E7C0> server_hostname='raw.githubusercontent.com' timeout=5
2026-01-27 00:05:25,007 | DEBUG | httpcore.connection | start_tls.complete return_value=<httpcore._backends.sync.SyncStream object at 0x0000028209852920>
2026-01-27 00:05:25,007 | DEBUG | httpcore.http11 | send_request_headers.started request=<Request [b'GET']>
2026-01-27 00:05:25,007 | DEBUG | httpcore.http11 | send_request_headers.complete
2026-01-27 00:05:25,007 | DEBUG | httpcore.http11 | send_request_body.started request=<Request [b'GET']>
2026-01-27 00:05:25,007 | DEBUG | httpcore.http11 | send_request_body.complete
2026-01-27 00:05:25,007 | DEBUG | httpcore.http11 | receive_response_headers.started request=<Request [b'GET']>
2026-01-27 00:05:25,039 | DEBUG | httpcore.http11 | receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Connection', b'keep-alive'), (b'Content-Length', b'62322'), (b'Cache-Control', b'max-age=300'), (b'Content-Security-Policy', b"default-src 'none'; style-src 'unsafe-inline'; sandbox"), (b'Content-Type', b'text/plain; charset=utf-8'), (b'ETag', b'W/"5f0be0ed2fe5ecf561c4b4488d64c304c35b980a45012ef1d1253b4b5d438af1"'), (b'Strict-Transport-Security', b'max-age=31536000'), (b'X-Content-Type-Options', b'nosniff'), (b'X-Frame-Options', b'deny'), (b'X-XSS-Protection', b'1; mode=block'), (b'X-GitHub-Request-Id', b'415E:3865D1:30D7E6:7A896E:69753835'), (b'Content-Encoding', b'gzip'), (b'Accept-Ranges', b'bytes'), (b'Date', b'Mon, 26 Jan 2026 18:35:24 GMT'), (b'Via', b'1.1 varnish'), (b'X-Served-By', b'cache-bom-vanm7210053-BOM'), (b'X-Cache', b'HIT'), (b'X-Cache-Hits', b'5'), (b'X-Timer', b'S1769452525.992827,VS0,VE0'), (b'Vary', b'Authorization,Accept-Encoding'), (b'Access-Control-Allow-Origin', b'*'), (b'Cross-Origin-Resource-Policy', b'cross-origin'), (b'X-Fastly-Request-ID', b'585d918675c76756c893edd0391ce7d0f7ebd2c2'), (b'Expires', b'Mon, 26 Jan 2026 18:40:24 GMT'), (b'Source-Age', b'154')])
2026-01-27 00:05:25,039 | DEBUG | httpcore.http11 | receive_response_body.started request=<Request [b'GET']>
2026-01-27 00:05:25,086 | DEBUG | httpcore.http11 | receive_response_body.complete
2026-01-27 00:05:25,087 | DEBUG | httpcore.http11 | response_closed.started
2026-01-27 00:05:25,087 | DEBUG | httpcore.http11 | response_closed.complete
2026-01-27 00:05:25,087 | DEBUG | httpcore.connection | close.started
2026-01-27 00:05:25,087 | DEBUG | httpcore.connection | close.complete
2026-01-27 00:05:26,354 | DEBUG | LiteLLM | [Non-Blocking] Unable to import GenericAPILogger - LiteLLM Enterprise Feature - No module named 'litellm_enterprise'
2026-01-27 00:05:27,002 | DEBUG | LiteLLM | Using AiohttpTransport...
2026-01-27 00:05:27,003 | DEBUG | LiteLLM | Creating AiohttpTransport...
2026-01-27 00:05:27,003 | DEBUG | LiteLLM | NEW SESSION: Creating new ClientSession (no shared session provided)
2026-01-27 00:05:27,013 | DEBUG | LiteLLM | Using AiohttpTransport...
2026-01-27 00:05:27,014 | DEBUG | LiteLLM | Creating AiohttpTransport...
2026-01-27 00:05:27,015 | DEBUG | LiteLLM | NEW SESSION: Creating new ClientSession (no shared session provided)
2026-01-27 00:05:27,015 | DEBUG | LiteLLM | Using AiohttpTransport...
2026-01-27 00:05:27,016 | DEBUG | LiteLLM | Creating AiohttpTransport...
2026-01-27 00:05:27,016 | DEBUG | LiteLLM | NEW SESSION: Creating new ClientSession (no shared session provided)
2026-01-27 00:05:27,018 | DEBUG | LiteLLM | Using AiohttpTransport...
2026-01-27 00:05:27,018 | DEBUG | LiteLLM | Creating AiohttpTransport...
2026-01-27 00:05:27,019 | DEBUG | LiteLLM | NEW SESSION: Creating new ClientSession (no shared session provided)
2026-01-27 00:05:27,126 | INFO | main | 🚀 FastAPI application starting
2026-01-27 00:05:27,189 | INFO | main | 🗄️ Database tables ensured
2026-01-27 00:05:59,719 | DEBUG | asyncio | Using proactor: IocpProactor
2026-01-27 00:05:59,722 | DEBUG | openai.agents | Shutting down trace provider
2026-01-27 00:05:59,722 | DEBUG | openai.agents | Shutting down trace processor <agents.tracing.processors.BatchTraceProcessor object at 0x000002827F438880>
2026-01-27 00:06:02,928 | DEBUG | httpcore.connection | connect_tcp.started host='raw.githubusercontent.com' port=443 local_address=None timeout=5 socket_options=None
2026-01-27 00:06:02,972 | DEBUG | httpcore.connection | connect_tcp.complete return_value=<httpcore._backends.sync.SyncStream object at 0x00000231BAE528F0>
2026-01-27 00:06:02,972 | DEBUG | httpcore.connection | start_tls.started ssl_context=<ssl.SSLContext object at 0x00000231BAB5E7C0> server_hostname='raw.githubusercontent.com' timeout=5
2026-01-27 00:06:03,052 | DEBUG | httpcore.connection | start_tls.complete return_value=<httpcore._backends.sync.SyncStream object at 0x00000231BAE528C0>
2026-01-27 00:06:03,052 | DEBUG | httpcore.http11 | send_request_headers.started request=<Request [b'GET']>
2026-01-27 00:06:03,052 | DEBUG | httpcore.http11 | send_request_headers.complete
2026-01-27 00:06:03,052 | DEBUG | httpcore.http11 | send_request_body.started request=<Request [b'GET']>
2026-01-27 00:06:03,052 | DEBUG | httpcore.http11 | send_request_body.complete
2026-01-27 00:06:03,052 | DEBUG | httpcore.http11 | receive_response_headers.started request=<Request [b'GET']>
2026-01-27 00:06:03,084 | DEBUG | httpcore.http11 | receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Connection', b'keep-alive'), (b'Content-Length', b'62322'), (b'Cache-Control', b'max-age=300'), (b'Content-Security-Policy', b"default-src 'none'; style-src 'unsafe-inline'; sandbox"), (b'Content-Type', b'text/plain; charset=utf-8'), (b'ETag', b'W/"5f0be0ed2fe5ecf561c4b4488d64c304c35b980a45012ef1d1253b4b5d438af1"'), (b'Strict-Transport-Security', b'max-age=31536000'), (b'X-Content-Type-Options', b'nosniff'), (b'X-Frame-Options', b'deny'), (b'X-XSS-Protection', b'1; mode=block'), (b'X-GitHub-Request-Id', b'415E:3865D1:30D7E6:7A896E:69753835'), (b'Content-Encoding', b'gzip'), (b'Accept-Ranges', b'bytes'), (b'Date', b'Mon, 26 Jan 2026 18:36:03 GMT'), (b'Via', b'1.1 varnish'), (b'X-Served-By', b'cache-bom-vanm7210094-BOM'), (b'X-Cache', b'HIT'), (b'X-Cache-Hits', b'8'), (b'X-Timer', b'S1769452563.028637,VS0,VE0'), (b'Vary', b'Authorization,Accept-Encoding'), (b'Access-Control-Allow-Origin', b'*'), (b'Cross-Origin-Resource-Policy', b'cross-origin'), (b'X-Fastly-Request-ID', b'f5b6a304e06dd5ea9f92204a6ea9ef425e1e2cda'), (b'Expires', b'Mon, 26 Jan 2026 18:41:03 GMT'), (b'Source-Age', b'192')])
2026-01-27 00:06:03,084 | DEBUG | httpcore.http11 | receive_response_body.started request=<Request [b'GET']>
2026-01-27 00:06:03,125 | DEBUG | httpcore.http11 | receive_response_body.complete
2026-01-27 00:06:03,125 | DEBUG | httpcore.http11 | response_closed.started
2026-01-27 00:06:03,125 | DEBUG | httpcore.http11 | response_closed.complete
2026-01-27 00:06:03,125 | DEBUG | httpcore.connection | close.started
2026-01-27 00:06:03,125 | DEBUG | httpcore.connection | close.complete
2026-01-27 00:06:03,746 | DEBUG | LiteLLM | [Non-Blocking] Unable to import GenericAPILogger - LiteLLM Enterprise Feature - No module named 'litellm_enterprise'
2026-01-27 00:06:04,126 | DEBUG | LiteLLM | Using AiohttpTransport...
2026-01-27 00:06:04,126 | DEBUG | LiteLLM | Creating AiohttpTransport...
2026-01-27 00:06:04,126 | DEBUG | LiteLLM | NEW SESSION: Creating new ClientSession (no shared session provided)
2026-01-27 00:06:04,126 | DEBUG | LiteLLM | Using AiohttpTransport...
2026-01-27 00:06:04,126 | DEBUG | LiteLLM | Creating AiohttpTransport...
2026-01-27 00:06:04,126 | DEBUG | LiteLLM | NEW SESSION: Creating new ClientSession (no shared session provided)
2026-01-27 00:06:04,137 | DEBUG | LiteLLM | Using AiohttpTransport...
2026-01-27 00:06:04,137 | DEBUG | LiteLLM | Creating AiohttpTransport...
2026-01-27 00:06:04,138 | DEBUG | LiteLLM | NEW SESSION: Creating new ClientSession (no shared session provided)
2026-01-27 00:06:04,138 | DEBUG | LiteLLM | Using AiohttpTransport...
2026-01-27 00:06:04,138 | DEBUG | LiteLLM | Creating AiohttpTransport...
2026-01-27 00:06:04,139 | DEBUG | LiteLLM | NEW SESSION: Creating new ClientSession (no shared session provided)
2026-01-27 00:06:04,204 | INFO | main | 🚀 FastAPI application starting
2026-01-27 00:06:04,287 | INFO | main | 🗄️ Database tables ensured
2026-01-27 00:06:29,168 | INFO | chat | 📩 Chat request | user_id=6 | request_id=f5790c83-81d7-4e16-b7bf-360db2e394b3
2026-01-27 00:06:29,169 | INFO | chat | 🧑 User message | hi
2026-01-27 00:06:29,185 | INFO | chat | 🆕 New session created | 42356d82-d23e-4eab-8ef8-7d395e86e6fe
2026-01-27 00:06:29,187 | INFO | chat | 🤖 Stream started | session_id=42356d82-d23e-4eab-8ef8-7d395e86e6fe | request_id=f5790c83-81d7-4e16-b7bf-360db2e394b3
2026-01-27 00:06:29,187 | INFO | chat | 🤖 Running digital human
2026-01-27 00:06:29,187 | INFO | orchestrator | 🔥 LOG TEST: orchestrator started
2026-01-27 00:06:29,187 | INFO | orchestrator | 🛡️ Safety agent called
2026-01-27 00:06:29,199 | DEBUG | openai.agents | Creating trace Agent workflow with id trace_cc4e48531e934011869b2ce92e580d56
2026-01-27 00:06:29,199 | DEBUG | openai.agents | Setting current trace: trace_cc4e48531e934011869b2ce92e580d56
2026-01-27 00:06:29,201 | DEBUG | openai.agents | Creating span <agents.tracing.span_data.AgentSpanData object at 0x00000231BEBBF3D0> with id None
2026-01-27 00:06:29,201 | DEBUG | openai.agents | Running agent Safety Agent (turn 1)
2026-01-27 00:06:29,210 | DEBUG | openai.agents | Creating span <agents.tracing.span_data.GenerationSpanData object at 0x00000231BEBC8A00> with id None
2026-01-27 00:06:29,210 | DEBUG | openai.agents | Calling LLM
2026-01-27 00:06:29,210 | DEBUG | LiteLLM | 

2026-01-27 00:06:29,210 | DEBUG | LiteLLM | [92mRequest to litellm:[0m
2026-01-27 00:06:29,210 | DEBUG | LiteLLM | [92mlitellm.acompletion(model='gemini/gemini-2.5-flash', messages=[{'content': '\n\nYou are a content safety checker.\n \nYour task:\n\n- Decide whether the user\'s message is SAFE or UNSAFE.\n \nSAFE content includes:\n\n- General knowledge (science, history, people)\n\n- Weather questions\n\n- Casual conversation\n\n- Education, explanations, opinions\n\n- Harmless personal questions\n \nUNSAFE content includes:\n\n- Violence, murder, terrorism\n\n- Instructions for illegal activities\n\n- Self-harm or suicide encouragement\n\n- Hate speech or harassment\n\n- Sexual content involving minors\n \nRules:\n\n- If the message is SAFE, respond with: "SAFE"\n\n- If the message is UNSAFE, respond with a short, polite refusal explaining that you cannot help with that request.\n\n- Do NOT mention policies, rules, or internal systems.\n\n- Do NOT block normal or harmless questions.\n\n- Be calm and respectful.\n\n', 'role': 'system'}, {'role': 'user', 'content': 'hi'}], tools=None, temperature=None, top_p=None, frequency_penalty=None, presence_penalty=None, max_tokens=None, tool_choice=None, response_format=None, parallel_tool_calls=None, stream=False, stream_options=None, reasoning_effort=None, top_logprobs=None, extra_headers={'User-Agent': 'Agents/Python 0.6.5'}, api_key=None, base_url=None)[0m
2026-01-27 00:06:29,210 | DEBUG | LiteLLM | 

2026-01-27 00:06:29,210 | DEBUG | LiteLLM | self.optional_params: {}
2026-01-27 00:06:29,210 | DEBUG | LiteLLM | ASYNC kwargs[caching]: False; litellm.cache: None; kwargs.get('cache'): None
2026-01-27 00:06:29,210 | DEBUG | LiteLLM | 🔄 NO SHARED SESSION: acompletion called without shared_session
2026-01-27 00:06:29,237 | DEBUG | LiteLLM | checking potential_model_names in litellm.model_cost: {'split_model': 'gemini-2.5-flash', 'combined_model_name': 'vertex_ai/gemini-2.5-flash', 'stripped_model_name': 'gemini-2.5-flash', 'combined_stripped_model_name': 'vertex_ai/gemini-2.5-flash', 'custom_llm_provider': 'vertex_ai'}
2026-01-27 00:06:29,237 | INFO | LiteLLM | 
LiteLLM completion() model= gemini-2.5-flash; provider = gemini
2026-01-27 00:06:29,242 | DEBUG | LiteLLM | 
LiteLLM: Params passed to completion() {'functions': None, 'function_call': None, 'temperature': None, 'top_p': None, 'stream': False, 'stream_options': None, 'stop': None, 'max_tokens': None, 'max_completion_tokens': None, 'modalities': None, 'prediction': None, 'audio': None, 'presence_penalty': None, 'frequency_penalty': None, 'logit_bias': None, 'user': None, 'response_format': None, 'seed': None, 'tools': None, 'tool_choice': None, 'max_retries': None, 'logprobs': None, 'top_logprobs': None, 'extra_headers': None, 'api_version': None, 'parallel_tool_calls': None, 'allowed_openai_params': None, 'reasoning_effort': None, 'verbosity': None, 'additional_drop_params': None, 'messages': [{'content': '\n\nYou are a content safety checker.\n \nYour task:\n\n- Decide whether the user\'s message is SAFE or UNSAFE.\n \nSAFE content includes:\n\n- General knowledge (science, history, people)\n\n- Weather questions\n\n- Casual conversation\n\n- Education, explanations, opinions\n\n- Harmless personal questions\n \nUNSAFE content includes:\n\n- Violence, murder, terrorism\n\n- Instructions for illegal activities\n\n- Self-harm or suicide encouragement\n\n- Hate speech or harassment\n\n- Sexual content involving minors\n \nRules:\n\n- If the message is SAFE, respond with: "SAFE"\n\n- If the message is UNSAFE, respond with a short, polite refusal explaining that you cannot help with that request.\n\n- Do NOT mention policies, rules, or internal systems.\n\n- Do NOT block normal or harmless questions.\n\n- Be calm and respectful.\n\n', 'role': 'system'}, {'role': 'user', 'content': 'hi'}], 'thinking': None, 'web_search_options': None, 'safety_identifier': None, 'custom_llm_provider': 'gemini', 'drop_params': None, 'model': 'gemini-2.5-flash', 'n': None, 'service_tier': None}
2026-01-27 00:06:29,242 | DEBUG | LiteLLM | 
LiteLLM: Non-Default params passed to completion() {'stream': False}
2026-01-27 00:06:29,245 | DEBUG | LiteLLM | Final returned optional params: {}
2026-01-27 00:06:29,245 | DEBUG | LiteLLM | self.optional_params: {'stream': False}
2026-01-27 00:06:29,245 | DEBUG | LiteLLM | checking potential_model_names in litellm.model_cost: {'split_model': 'gemini-2.5-flash', 'combined_model_name': 'gemini/gemini-2.5-flash', 'stripped_model_name': 'gemini-2.5-flash', 'combined_stripped_model_name': 'gemini/gemini-2.5-flash', 'custom_llm_provider': 'gemini'}
2026-01-27 00:06:29,440 | DEBUG | LiteLLM | checking potential_model_names in litellm.model_cost: {'split_model': 'gemini-2.5-flash', 'combined_model_name': 'gemini/gemini-2.5-flash', 'stripped_model_name': 'gemini-2.5-flash', 'combined_stripped_model_name': 'gemini/gemini-2.5-flash', 'custom_llm_provider': 'gemini'}
2026-01-27 00:06:29,442 | DEBUG | LiteLLM | [92m

POST Request Sent from LiteLLM:
curl -X POST \
https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-flash:generateContent?key=*****toyA \
-H 'Content-Type: application/json' -H 'User-Agent: Agents/Python 0.6.5' \
-d '{'contents': [{'role': 'user', 'parts': [{'text': 'hi'}]}], 'system_instruction': {'parts': [{'text': '\n\nYou are a content safety checker.\n \nYour task:\n\n- Decide whether the user\'s message is SAFE or UNSAFE.\n \nSAFE content includes:\n\n- General knowledge (science, history, people)\n\n- Weather questions\n\n- Casual conversation\n\n- Education, explanations, opinions\n\n- Harmless personal questions\n \nUNSAFE content includes:\n\n- Violence, murder, terrorism\n\n- Instructions for illegal activities\n\n- Self-harm or suicide encouragement\n\n- Hate speech or harassment\n\n- Sexual content involving minors\n \nRules:\n\n- If the message is SAFE, respond with: "SAFE"\n\n- If the message is UNSAFE, respond with a short, polite refusal explaining that you cannot help with that request.\n\n- Do NOT mention policies, rules, or internal systems.\n\n- Do NOT block normal or harmless questions.\n\n- Be calm and respectful.\n\n'}]}, 'generationConfig': {}}'
[0m

2026-01-27 00:06:32,000 | DEBUG | LiteLLM | RAW RESPONSE:
{
  "candidates": [
    {
      "content": {
        "parts": [
          {
            "text": "SAFE"
          }
        ],
        "role": "model"
      },
      "finishReason": "STOP",
      "index": 0
    }
  ],
  "usageMetadata": {
    "promptTokenCount": 188,
    "candidatesTokenCount": 1,
    "totalTokenCount": 223,
    "promptTokensDetails": [
      {
        "modality": "TEXT",
        "tokenCount": 188
      }
    ],
    "thoughtsTokenCount": 34
  },
  "modelVersion": "gemini-2.5-flash",
  "responseId": "L7R3aYf1K9Wq4-EP3e622Ak"
}



2026-01-27 00:06:32,005 | DEBUG | LiteLLM | Filtered callbacks: ['cache']
2026-01-27 00:06:32,005 | DEBUG | LiteLLM | Logging Details LiteLLM-Success Call: Cache_hit=None
2026-01-27 00:06:32,005 | DEBUG | LiteLLM | selected model name for cost calculation: gemini/gemini-2.5-flash
2026-01-27 00:06:32,005 | DEBUG | LiteLLM | selected model name for cost calculation: gemini/gemini-2.5-flash
2026-01-27 00:06:32,012 | DEBUG | LiteLLM | checking potential_model_names in litellm.model_cost: {'split_model': 'gemini-2.5-flash', 'combined_model_name': 'gemini/gemini-2.5-flash', 'stripped_model_name': 'gemini-2.5-flash', 'combined_stripped_model_name': 'gemini/gemini-2.5-flash', 'custom_llm_provider': 'gemini'}
2026-01-27 00:06:32,012 | DEBUG | LiteLLM | checking potential_model_names in litellm.model_cost: {'split_model': 'gemini-2.5-flash', 'combined_model_name': 'gemini/gemini-2.5-flash', 'stripped_model_name': 'gemini-2.5-flash', 'combined_stripped_model_name': 'gemini/gemini-2.5-flash', 'custom_llm_provider': 'gemini'}
